,died,euthanized,lived
0,1,0,0
1,0,1,0
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,1,0
7,1,0,0
8,0,0,1
9,1,0,0
10,1,0,0
11,0,1,0
12,0,0,1
13,0,0,1
14,0,0,1
15,0,0,1
16,0,1,0
17,0,0,1
18,1,0,0
19,1,0,0
20,0,1,0
21,0,1,0
22,0,0,1
23,1,0,0
24,0,1,0
25,1,0,0
26,0,0,1
27,0,0,1
28,0,1,0
29,1,0,0
30,0,0,1
31,1,0,0
32,0,1,0
33,1,0,0
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,1,0
40,1,0,0
41,1,0,0
42,0,0,1
43,0,1,0
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,1,0
49,0,0,1
50,1,0,0
51,0,1,0
52,1,0,0
53,0,1,0
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,1,0
59,1,0,0
60,0,1,0
61,1,0,0
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,1,0,0
67,0,0,1
68,0,0,1
69,0,1,0
70,0,0,1
71,0,1,0
72,0,1,0
73,1,0,0
74,1,0,0
75,1,0,0
76,0,0,1
77,1,0,0
78,1,0,0
79,0,0,1
80,0,0,1
81,0,1,0
82,1,0,0
83,0,0,1
84,0,1,0
85,0,0,1
86,1,0,0
87,0,0,1
88,0,0,1
89,1,0,0
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,1,0,0
95,0,1,0
96,1,0,0
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,1,0
102,1,0,0
103,1,0,0
104,0,0,1
105,0,0,1
106,0,0,1
107,0,0,1
108,1,0,0
109,1,0,0
110,1,0,0
111,1,0,0
112,0,0,1
113,0,1,0
114,0,1,0
115,0,0,1
116,1,0,0
117,0,0,1
118,0,0,1
119,1,0,0
120,1,0,0
121,0,0,1
122,0,0,1
123,1,0,0
124,1,0,0
125,1,0,0
126,0,0,1
127,1,0,0
128,0,1,0
129,1,0,0
130,1,0,0
131,0,0,1
132,1,0,0
133,1,0,0
134,0,0,1
135,1,0,0
136,1,0,0
137,0,1,0
138,0,0,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,1,0,0
144,0,0,1
145,0,1,0
146,0,1,0
147,0,1,0
148,1,0,0
149,1,0,0
150,1,0,0
151,0,0,1
152,0,1,0
153,1,0,0
154,1,0,0
155,0,0,1
156,1,0,0
157,0,0,1
158,0,1,0
159,1,0,0
160,0,1,0
161,0,0,1
162,0,0,1
163,1,0,0
164,0,1,0
165,1,0,0
166,0,0,1
167,1,0,0
168,1,0,0
169,1,0,0
170,0,0,1
171,1,0,0
172,1,0,0
173,0,0,1
174,0,0,1
175,0,1,0
176,0,0,1
177,1,0,0
178,0,0,1
179,0,1,0
180,0,1,0
181,0,0,1
182,1,0,0
183,1,0,0
184,0,0,1
185,0,0,1
186,0,0,1
187,1,0,0
188,0,0,1
189,0,0,1
190,1,0,0
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,1,0,0
196,0,1,0
197,1,0,0
198,0,0,1
199,0,0,1
200,1,0,0
201,0,1,0
202,0,0,1
203,1,0,0
204,1,0,0
205,1,0,0
206,0,0,1
207,0,1,0
208,1,0,0
209,0,0,1
210,0,0,1
211,0,0,1
212,0,0,1
213,1,0,0
214,1,0,0
215,0,0,1
216,0,0,1
217,1,0,0
218,0,0,1
219,0,0,1
220,0,0,1
221,0,0,1
222,0,0,1
223,0,1,0
224,0,1,0
225,0,0,1
226,0,0,1
227,0,0,1
228,0,0,1
229,0,0,1
230,1,0,0
231,0,0,1
232,0,1,0
233,0,0,1
234,0,0,1
235,1,0,0
236,0,0,1
237,0,0,1
238,0,0,1
239,1,0,0
240,0,1,0
241,0,1,0
242,0,0,1
243,0,1,0
244,0,0,1
245,0,0,1
246,1,0,0
247,0,0,1
248,1,0,0
249,1,0,0
250,0,0,1
251,0,0,1
252,0,1,0
253,0,0,1
254,0,0,1
255,0,0,1
256,1,0,0
257,1,0,0
258,1,0,0
259,0,1,0
260,0,0,1
261,1,0,0
262,1,0,0
263,0,1,0
264,1,0,0
265,0,0,1
266,0,0,1
267,0,0,1
268,1,0,0
269,1,0,0
270,0,0,1
271,0,1,0
272,1,0,0
273,1,0,0
274,0,0,1
275,0,1,0
276,0,1,0
277,0,0,1
278,1,0,0
279,1,0,0
280,0,0,1
281,1,0,0
282,1,0,0
283,0,0,1
284,0,1,0
285,0,0,1
286,0,1,0
287,1,0,0
288,1,0,0
289,1,0,0
290,0,0,1
291,0,1,0
292,1,0,0
293,1,0,0
294,0,0,1
295,0,1,0
296,1,0,0
297,0,0,1
298,0,0,1
299,0,0,1
300,0,0,1
301,0,0,1
302,0,1,0
303,0,1,0
304,1,0,0
305,0,0,1
306,0,1,0
307,1,0,0
308,1,0,0
309,1,0,0
310,1,0,0
311,0,1,0
312,1,0,0
313,0,1,0
314,1,0,0
315,0,0,1
316,0,0,1
317,0,1,0
318,1,0,0
319,1,0,0
320,0,1,0
321,1,0,0
322,0,1,0
323,0,0,1
324,1,0,0
325,1,0,0
326,0,0,1
327,0,0,1
328,0,1,0
329,0,0,1
330,0,0,1
331,0,1,0
332,1,0,0
333,0,1,0
334,1,0,0
335,0,1,0
336,1,0,0
337,0,0,1
338,0,0,1
339,0,0,1
340,0,0,1
341,0,0,1
342,1,0,0
343,0,0,1
344,0,0,1
345,1,0,0
346,0,1,0
347,0,0,1
348,0,1,0
349,0,0,1
350,0,0,1
351,0,0,1
352,0,0,1
353,0,0,1
354,0,0,1
355,0,1,0
356,0,0,1
357,0,0,1
358,0,0,1
359,0,0,1
360,0,0,1
361,1,0,0
362,0,0,1
363,0,0,1
364,1,0,0
365,1,0,0
366,0,1,0
367,1,0,0
368,0,1,0
369,0,1,0
370,0,1,0
371,0,0,1
372,0,1,0
373,0,0,1
374,0,0,1
375,1,0,0
376,0,1,0
377,0,0,1
378,0,0,1
379,0,0,1
380,0,1,0
381,0,0,1
382,0,0,1
383,0,0,1
384,0,0,1
385,0,0,1
386,1,0,0
387,1,0,0
388,0,1,0
389,0,1,0
390,1,0,0
391,1,0,0
392,1,0,0
393,1,0,0
394,0,1,0
395,1,0,0
396,1,0,0
397,0,1,0
398,0,0,1
399,1,0,0
400,1,0,0
401,1,0,0
402,1,0,0
403,1,0,0
404,0,0,1
405,1,0,0
406,0,0,1
407,0,0,1
408,0,0,1
409,0,0,1
410,1,0,0
411,1,0,0
412,0,0,1
413,0,1,0
414,1,0,0
415,0,1,0
416,0,0,1
417,0,0,1
418,0,0,1
419,0,0,1
420,1,0,0
421,0,1,0
422,0,1,0
423,0,1,0
424,1,0,0
425,0,1,0
426,1,0,0
427,0,0,1
428,0,1,0
429,1,0,0
430,0,1,0
431,1,0,0
432,1,0,0
433,0,1,0
434,1,0,0
435,1,0,0
436,1,0,0
437,0,1,0
438,0,1,0
439,1,0,0
440,0,0,1
441,0,1,0
442,1,0,0
443,1,0,0
444,1,0,0
445,0,0,1
446,0,0,1
447,1,0,0
448,0,1,0
449,0,0,1
450,1,0,0
451,0,0,1
452,1,0,0
453,1,0,0
454,0,0,1
455,1,0,0
456,0,0,1
457,0,1,0
458,1,0,0
459,1,0,0
460,1,0,0
461,0,0,1
462,0,1,0
463,0,1,0
464,0,0,1
465,0,0,1
466,0,1,0
467,1,0,0
468,0,0,1
469,0,0,1
470,0,0,1
471,0,0,1
472,0,0,1
473,0,0,1
474,1,0,0
475,0,0,1
476,1,0,0
477,1,0,0
478,0,1,0
479,1,0,0
480,0,0,1
481,0,0,1
482,0,1,0
483,0,0,1
484,0,0,1
485,0,0,1
486,0,0,1
487,0,1,0
488,1,0,0
489,1,0,0
490,0,1,0
491,0,0,1
492,0,1,0
493,0,0,1
494,1,0,0
495,0,0,1
496,1,0,0
497,0,1,0
498,0,0,1
499,1,0,0
500,0,0,1
501,1,0,0
502,0,0,1
503,1,0,0
504,0,1,0
505,0,0,1
506,1,0,0
507,1,0,0
508,1,0,0
509,1,0,0
510,0,0,1
511,1,0,0
512,1,0,0
513,1,0,0
514,0,0,1
515,0,0,1
516,1,0,0
517,1,0,0
518,0,0,1
519,1,0,0
520,0,0,1
521,0,0,1
522,1,0,0
523,0,1,0
524,0,0,1
525,0,0,1
526,1,0,0
527,1,0,0
528,0,0,1
529,0,1,0
530,0,0,1
531,0,0,1
532,0,0,1
533,0,1,0
534,0,1,0
535,0,0,1
536,1,0,0
537,1,0,0
538,1,0,0
539,0,1,0
540,0,0,1
541,1,0,0
542,0,0,1
543,1,0,0
544,0,1,0
545,0,0,1
546,1,0,0
547,0,0,1
548,1,0,0
549,1,0,0
550,0,0,1
551,0,0,1
552,0,1,0
553,0,0,1
554,1,0,0
555,1,0,0
556,0,1,0
557,1,0,0
558,1,0,0
559,0,0,1
560,0,0,1
561,0,1,0
562,0,0,1
563,0,0,1
564,1,0,0
565,1,0,0
566,0,0,1
567,0,0,1
568,0,1,0
569,0,1,0
570,0,0,1
571,0,0,1
572,0,0,1
573,0,0,1
574,0,0,1
575,1,0,0
576,1,0,0
577,1,0,0
578,0,0,1
579,1,0,0
580,0,1,0
581,0,0,1
582,0,1,0
583,1,0,0
584,1,0,0
585,1,0,0
586,1,0,0
587,0,0,1
588,1,0,0
589,0,0,1
590,1,0,0
591,0,0,1
592,0,1,0
593,1,0,0
594,0,0,1
595,0,1,0
596,0,1,0
597,1,0,0
598,1,0,0
599,1,0,0
600,1,0,0
601,1,0,0
602,0,0,1
603,0,1,0
604,0,1,0
605,0,0,1
606,0,1,0
607,0,0,1
608,0,1,0
609,0,0,1
610,0,1,0
611,0,0,1
612,1,0,0
613,1,0,0
614,0,1,0
615,0,0,1
616,0,0,1
617,0,0,1
618,1,0,0
619,0,1,0
620,0,1,0
621,1,0,0
622,1,0,0
623,0,0,1
624,0,0,1
625,1,0,0
626,1,0,0
627,0,0,1
628,0,0,1
629,0,0,1
630,1,0,0
631,1,0,0
632,0,1,0
633,1,0,0
634,1,0,0
635,0,1,0
636,0,1,0
637,1,0,0
638,0,1,0
639,0,0,1
640,0,0,1
641,0,0,1
642,0,0,1
643,1,0,0
644,0,1,0
645,0,0,1
646,1,0,0
647,0,1,0
648,1,0,0
649,0,0,1
650,1,0,0
651,0,0,1
652,1,0,0
653,1,0,0
654,0,0,1
655,0,0,1
656,0,0,1
657,0,0,1
658,0,0,1
659,0,1,0
660,0,1,0
661,0,0,1
662,0,1,0
663,0,0,1
664,1,0,0
665,0,1,0
666,0,0,1
667,1,0,0
668,1,0,0
669,0,1,0
670,0,1,0
671,0,0,1
672,0,1,0
673,0,0,1
674,0,0,1
675,1,0,0
676,0,1,0
677,1,0,0
678,1,0,0
679,1,0,0
680,0,0,1
681,0,1,0
682,0,0,1
683,0,0,1
684,0,1,0
685,1,0,0
686,0,0,1
687,1,0,0
688,0,0,1
689,1,0,0
690,1,0,0
691,1,0,0
692,0,1,0
693,1,0,0
694,1,0,0
695,1,0,0
696,0,0,1
697,0,0,1
698,0,0,1
699,0,1,0
700,0,0,1
701,0,1,0
702,0,0,1
703,0,0,1
704,0,1,0
705,0,0,1
706,0,0,1
707,1,0,0
708,1,0,0
709,0,1,0
710,0,1,0
711,1,0,0
712,1,0,0
713,0,1,0
714,0,1,0
715,0,1,0
716,0,0,1
717,0,0,1
718,1,0,0
719,0,1,0
720,0,0,1
721,0,1,0
722,0,1,0
723,1,0,0
724,0,0,1
725,0,0,1
726,1,0,0
727,1,0,0
728,0,0,1
729,0,0,1
730,1,0,0
731,0,0,1
732,0,0,1
733,0,1,0
734,0,0,1
735,0,0,1
736,0,0,1
737,0,0,1
738,0,0,1
739,0,0,1
740,0,1,0
741,1,0,0
742,0,0,1
743,0,0,1
744,0,0,1
745,0,0,1
746,0,1,0
747,0,1,0
748,0,0,1
749,0,1,0
750,0,0,1
751,0,0,1
752,1,0,0
753,0,1,0
754,0,0,1
755,0,0,1
756,0,0,1
757,1,0,0
758,0,1,0
759,1,0,0
760,1,0,0
761,0,1,0
762,1,0,0
763,0,0,1
764,0,0,1
765,0,0,1
766,0,0,1
767,0,0,1
768,0,1,0
769,1,0,0
770,0,1,0
771,0,1,0
772,0,0,1
773,1,0,0
774,1,0,0
775,1,0,0
776,0,1,0
777,1,0,0
778,1,0,0
779,1,0,0
780,0,1,0
781,0,1,0
782,1,0,0
783,0,0,1
784,0,0,1
785,0,1,0
786,0,1,0
787,0,0,1
788,1,0,0
789,0,0,1
790,1,0,0
791,1,0,0
792,0,0,1
793,0,0,1
794,0,1,0
795,0,0,1
796,0,0,1
797,1,0,0
798,0,0,1
799,0,0,1
800,0,1,0
801,1,0,0
802,0,0,1
803,0,1,0
804,0,0,1
805,1,0,0
806,0,0,1
807,0,0,1
808,0,1,0
809,1,0,0
810,1,0,0
811,1,0,0
812,1,0,0
813,1,0,0
814,1,0,0
815,0,0,1
816,0,0,1
817,0,0,1
818,1,0,0
819,0,0,1
820,0,0,1
821,0,0,1
822,0,0,1
823,0,0,1
824,1,0,0
825,0,0,1
826,1,0,0
827,1,0,0
828,0,0,1
829,0,0,1
830,0,0,1
831,1,0,0
832,0,0,1
833,1,0,0
834,0,0,1
835,1,0,0
836,0,0,1
837,0,0,1
838,0,1,0
839,0,0,1
840,0,0,1
841,1,0,0
842,0,1,0
843,0,0,1
844,0,1,0
845,0,0,1
846,1,0,0
847,0,1,0
848,0,0,1
849,0,0,1
850,0,0,1
851,1,0,0
852,0,0,1
853,1,0,0
854,0,0,1
855,0,1,0
856,0,0,1
857,0,1,0
858,1,0,0
859,1,0,0
860,1,0,0
861,0,0,1
862,0,0,1
863,0,0,1
864,0,0,1
865,1,0,0
866,0,1,0
867,0,0,1
868,1,0,0
869,1,0,0
870,0,0,1
871,1,0,0
872,0,0,1
873,0,0,1
874,1,0,0
875,1,0,0
876,1,0,0
877,0,0,1
878,0,1,0
879,0,0,1
880,0,0,1
881,0,0,1
882,0,0,1
883,0,0,1
884,1,0,0
885,0,0,1
886,0,0,1
887,0,0,1
888,1,0,0
889,1,0,0
890,0,1,0
891,1,0,0
892,1,0,0
893,1,0,0
894,0,0,1
895,0,1,0
896,0,0,1
897,0,0,1
898,0,0,1
899,0,0,1
900,0,0,1
901,0,0,1
902,0,0,1
903,1,0,0
904,0,0,1
905,0,0,1
906,0,1,0
907,0,0,1
908,0,0,1
909,0,1,0
910,1,0,0
911,0,0,1
912,1,0,0
913,0,0,1
914,0,0,1
915,0,0,1
916,1,0,0
917,0,0,1
918,1,0,0
919,1,0,0
920,0,1,0
921,0,1,0
922,0,0,1
923,0,1,0
924,0,1,0
925,0,0,1
926,0,0,1
927,1,0,0
928,0,1,0
929,0,0,1
930,1,0,0
931,0,0,1
932,0,0,1
933,0,0,1
934,0,0,1
935,0,0,1
936,0,0,1
937,0,0,1
938,0,0,1
939,0,0,1
940,0,0,1
941,0,0,1
942,1,0,0
943,0,0,1
944,1,0,0
945,1,0,0
946,1,0,0
947,0,0,1
948,1,0,0
949,0,0,1
950,0,0,1
951,0,0,1
952,0,1,0
953,0,1,0
954,1,0,0
955,0,0,1
956,1,0,0
957,0,1,0
958,0,0,1
959,0,0,1
960,0,0,1
961,0,0,1
962,0,0,1
963,0,0,1
964,0,0,1
965,0,0,1
966,1,0,0
967,1,0,0
968,0,0,1
969,0,0,1
970,1,0,0
971,0,1,0
972,1,0,0
973,0,1,0
974,0,0,1
975,0,0,1
976,0,0,1
977,0,0,1
978,0,0,1
979,0,0,1
980,0,1,0
981,0,0,1
982,0,1,0
983,0,0,1
984,1,0,0
985,0,0,1
986,0,1,0
987,0,0,1
988,0,0,1
989,0,0,1
990,0,0,1
991,0,0,1
992,0,0,1
993,0,0,1
994,1,0,0
995,0,0,1
996,0,1,0
997,0,0,1
998,1,0,0
999,0,1,0
1000,0,0,1
1001,0,1,0
1002,0,0,1
1003,0,0,1
1004,0,0,1
1005,0,1,0
1006,1,0,0
1007,0,0,1
1008,0,0,1
1009,0,1,0
1010,0,0,1
1011,1,0,0
1012,0,0,1
1013,1,0,0
1014,1,0,0
1015,0,1,0
1016,0,0,1
1017,0,1,0
1018,0,0,1
1019,0,0,1
1020,0,0,1
1021,1,0,0
1022,1,0,0
1023,1,0,0
1024,1,0,0
1025,1,0,0
1026,1,0,0
1027,1,0,0
1028,0,0,1
1029,1,0,0
1030,0,0,1
1031,1,0,0
1032,0,1,0
1033,0,0,1
1034,0,0,1
1035,0,0,1
1036,0,0,1
1037,0,0,1
1038,0,1,0
1039,1,0,0
1040,0,0,1
1041,0,0,1
1042,0,0,1
1043,0,0,1
1044,1,0,0
1045,1,0,0
1046,0,0,1
1047,0,0,1
1048,0,0,1
1049,0,1,0
1050,1,0,0
1051,0,1,0
1052,0,1,0
1053,0,1,0
1054,0,0,1
1055,0,0,1
1056,0,0,1
1057,1,0,0
1058,1,0,0
1059,1,0,0
1060,0,0,1
1061,1,0,0
1062,1,0,0
1063,0,1,0
1064,0,0,1
1065,0,0,1
1066,0,0,1
1067,0,0,1
1068,0,1,0
1069,1,0,0
1070,0,0,1
1071,0,0,1
1072,0,0,1
1073,0,0,1
1074,1,0,0
1075,0,0,1
1076,0,0,1
1077,0,0,1
1078,0,1,0
1079,0,1,0
1080,0,0,1
1081,0,0,1
1082,1,0,0
1083,1,0,0
1084,0,0,1
1085,0,0,1
1086,1,0,0
1087,1,0,0
1088,1,0,0
1089,0,0,1
1090,1,0,0
1091,0,0,1
1092,0,1,0
1093,0,0,1
1094,1,0,0
1095,1,0,0
1096,0,0,1
1097,0,1,0
1098,1,0,0
1099,0,0,1
1100,0,0,1
1101,0,0,1
1102,1,0,0
1103,0,0,1
1104,1,0,0
1105,0,0,1
1106,0,0,1
1107,1,0,0
1108,0,0,1
1109,0,1,0
1110,0,1,0
1111,0,1,0
1112,0,1,0
1113,0,1,0
1114,0,0,1
1115,0,0,1
1116,0,0,1
1117,0,1,0
1118,1,0,0
1119,0,1,0
1120,1,0,0
1121,1,0,0
1122,0,0,1
1123,1,0,0
1124,0,0,1
1125,0,1,0
1126,0,0,1
1127,0,0,1
1128,0,0,1
1129,0,1,0
1130,0,0,1
1131,0,0,1
1132,0,0,1
1133,0,0,1
1134,1,0,0
1135,1,0,0
1136,0,1,0
1137,1,0,0
1138,0,0,1
1139,0,1,0
1140,1,0,0
1141,1,0,0
1142,0,1,0
1143,0,0,1
1144,1,0,0
1145,0,0,1
1146,1,0,0
1147,0,0,1
1148,0,0,1
1149,0,0,1
1150,0,0,1
1151,0,0,1
1152,0,0,1
1153,1,0,0
1154,1,0,0
1155,0,0,1
1156,0,1,0
1157,1,0,0
1158,0,0,1
1159,1,0,0
1160,0,1,0
1161,1,0,0
1162,1,0,0
1163,0,0,1
1164,1,0,0
1165,0,1,0
1166,1,0,0
1167,0,1,0
1168,0,0,1
1169,0,1,0
1170,1,0,0
1171,0,0,1
1172,0,0,1
1173,0,0,1
1174,0,0,1
1175,1,0,0
1176,1,0,0
1177,0,0,1
1178,0,0,1
1179,0,0,1
1180,1,0,0
1181,0,0,1
1182,1,0,0
1183,0,1,0
1184,0,1,0
1185,1,0,0
1186,0,1,0
1187,0,1,0
1188,0,0,1
1189,0,0,1
1190,0,1,0
1191,0,0,1
1192,0,0,1
1193,0,0,1
1194,0,0,1
1195,0,0,1
1196,0,0,1
1197,0,1,0
1198,0,1,0
1199,1,0,0
1200,1,0,0
1201,1,0,0
1202,1,0,0
1203,0,1,0
1204,0,0,1
1205,1,0,0
1206,0,0,1
1207,0,1,0
1208,0,1,0
1209,0,0,1
1210,0,0,1
1211,1,0,0
1212,0,0,1
1213,1,0,0
1214,1,0,0
1215,1,0,0
1216,0,1,0
1217,1,0,0
1218,1,0,0
1219,0,0,1
1220,1,0,0
1221,0,1,0
1222,0,0,1
1223,1,0,0
1224,0,0,1
1225,0,0,1
1226,0,0,1
1227,0,0,1
1228,0,0,1
1229,0,0,1
1230,0,0,1
1231,1,0,0
1232,0,0,1
1233,0,0,1
1234,0,0,1
